work_id,input_type,status,found_people,image_source
88,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
89,PATH,in_progress,,/Users/sebastian/ue_programowanie/res/images.jpg
90,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
91,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
92,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
93,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
94,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
95,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
96,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
97,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
98,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
99,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
100,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
101,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
102,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
103,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
104,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
105,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
106,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
107,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
108,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
109,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
110,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
111,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
112,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
113,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
114,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
115,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
116,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
117,PATH,in_progress,,/Users/sebastian/ue_programowanie/res/images.jpg
118,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
119,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
120,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
121,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
122,PATH,in_progress,,/Users/sebastian/ue_programowanie/res/images.jpg
123,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
124,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
125,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
126,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
127,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
128,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
129,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
130,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
131,PATH,in_progress,,/Users/sebastian/ue_programowanie/res/images.jpg
132,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
133,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
134,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
135,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
136,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
137,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
